id,missing_link_id,candidate_link_id,referenced_link_id,name_score,speed_match,feature_id_match,oneway_match,dironsign_match,divided_type_match,coverage_over_link_area,coverage_over_candidate_area,is_match
305,777771843,1225123952,956733,1,1,1,1,1,1,0.181985527276993,0.040537424385548,1
306,777771843,1225070000,956733,1,1,1,1,1,1,0.086885929107666,0.014679684303701,1
307,777771843,96500737,956733,0,0,0,1,1,1,0.003308142535388,0.996030390262604,0
308,777771843,1225123892,956733,1,1,1,1,1,1,7.50609760871157E-05,0.999877393245697,0
309,777771843,777771844,956733,0.428570985794067,1,0,1,1,1,5.2622337534558E-05,0.996982097625732,0
310,777771843,1207615857,956733,1,1,1,1,1,1,0,1,0
311,777771843,96925691,956733,0,0,0,1,1,1,0,1,0
312,777771843,96925729,956733,0,0,0,1,1,1,0,1,0
313,918151704,1228025078,524023,1,1,1,1,1,1,0.295934051275253,0.225520208477974,1
314,918151704,1228025079,524023,1,1,1,1,1,1,0.068906061351299,0.884318232536316,1
315,918151704,131555310,524023,1,1,0,1,1,1,0.000350379152223,0.999363601207733,0
316,131707469,1228689582,326577,1,1,1,1,1,1,0.494364976882935,0.157536059617996,1
317,131707469,1228689581,326577,1,1,1,1,1,1,0.380490452051163,0.080199375748634,1
318,131707469,1228696799,326577,0.157894998788834,1,0,1,1,1,0.010894193314016,0.95026421546936,0
319,131707469,131707453,326577,0.150000005960464,1,0,1,1,1,0.008721025660634,0.993728458881378,0
320,131707469,131707550,326577,1,1,1,1,1,1,0.000302544183796,0.99976110458374,0
321,131707469,1228689579,326577,1,1,1,1,1,1,3.26512272295076E-05,0.999973177909851,0
322,90342338,1223958717,100771,1,1,1,1,1,1,0.68045437335968,0.024649979546666,0
323,90342338,1223958718,100771,1,1,1,1,1,1,0.294875204563141,0.024757921695709,1
324,90342338,90342336,100771,1,0,1,1,1,1,1.51618896779837E-05,0.999998390674591,0
325,90342338,1223958719,100771,1,1,1,1,1,1,1.33102475956548E-05,0.999989330768585,0
326,1157485552,1226924424,669054,1,1,1,1,1,1,0.587632179260254,0.026692293584347,1
327,1157485552,1226924425,669054,1,1,1,1,1,1,0.314685970544815,0.024471389129758,1
328,1157485552,1226924385,669054,1,1,1,1,1,1,0.073624737560749,0.000683827500325,1
329,1157485552,103555772,669054,0,0,0,1,1,1,0.001959655201063,0.989437282085419,0
330,1157485552,1157486397,669054,0,0,0,1,1,1,0.0006023934111,0.999275863170624,0
331,1157485552,1226925753,669054,0,1,0,1,1,1,0.000386875326512,0.992398679256439,0
332,1157485552,936547537,669054,1,1,1,1,1,1,8.78522678249283E-06,0.999991297721863,0
333,1157485552,1157485553,669054,1,1,1,1,1,1,9.41161715672934E-07,0.999995529651642,0
334,1169192841,1222386661,907301,1,1,1,1,1,1,0.677605211734772,0.012083056382835,1
335,1169192841,1222386662,907301,1,1,1,1,1,1,0.297647446393967,0.052405752241612,1
336,1169192841,891740717,907301,0.153845995664597,0,0,1,1,1,0.001948621706106,0.998202621936798,0
337,1169192841,891740691,907301,0.153845995664597,0,0,1,1,1,0.001787613029592,0.998701155185699,0
338,1169192841,90347771,907301,1,1,1,1,1,1,3.53175382770132E-05,0.999951183795929,0
339,1169192841,1169192842,907301,1,1,1,1,1,1,2.24075956793968E-05,0.999743759632111,0
340,1190424784,1223657094,706290,1,0,1,1,1,1,0.579979062080383,0.034712925553322,1
341,1190424784,1223657093,706290,1,0,1,1,1,1,0.394990652799606,0.011195461265743,1
342,1190424784,108480603,706290,1,0,1,1,1,1,0.002268554875627,0.999883055686951,0
343,1190424784,1223657049,706290,1,0,1,1,1,1,0,1,0
344,930792754,1215456425,757669,1,0,1,1,1,1,0.509698390960693,0.025646965950728,1
345,930792754,1215456424,757669,1,0,1,1,1,1,0.469237327575684,0.016079891473055,1
346,930792754,96837495,757669,0,0,0,1,1,1,0.013775841332972,0.999062359333038,0
347,930792754,105672457,757669,0,0,0,1,1,1,0.013598928228021,0.998142957687378,0
348,930792754,1216200748,757669,1,0,1,1,1,1,6.40070502413437E-05,0.999886035919189,0
349,930792754,1215457035,757669,1,0,1,1,1,1,0,1,0
350,1129435667,1224961329,646366,1,1,1,1,1,1,0.477188020944595,0.022303886711598,1
351,1129435667,1224962790,646366,1,1,1,1,1,1,0.27403336763382,0.018974026665092,1
352,1129435667,1224962789,646366,1,1,1,1,1,1,0.223051980137825,0.041070159524679,1
353,1129435667,1224961333,646366,0,1,0,0,1,1,0.05680026486516,0.892945349216461,0
354,1129435667,1224961331,646366,0,0,0,1,1,1,0.017064079642296,0.958636999130249,0
355,1129435667,883452823,646366,0.032258100807667,1,0,1,1,1,0.012333810329437,0.994502305984497,0
356,1129435667,124786947,646366,0,0,0,1,1,1,0.008097096346319,0.971926748752594,0
357,1129435667,1129435668,646366,1,1,1,1,1,1,8.92121461220086E-05,0.999760687351227,0
358,1129435667,1224962804,646366,0.030302999541164,1,0,1,1,1,2.9121731131454E-05,0.999943137168884,0
